Dusty in Memphis,Dusty Springfield,http://upload.wikimedia.org/wikipedia/en/c/cf/Dusty_Springfield%2C_Dusty_in_Memphis_%281969%29.png,94
Hotel California,Eagles,http://upload.wikimedia.org/wikipedia/en/2/20/Hotel_California_by_the_Eagles_US_vinyl_single.png,95
Some Rap Songs,Earl Sweatshirt,http://upload.wikimedia.org/wikipedia/en/d/db/Some_Rap_Songs.jpg,96
Either/Or,Elliott Smith,http://upload.wikimedia.org/wikipedia/en/f/fd/Elliottsmitheitheror55.jpg,97
XO,Elliott Smith,http://upload.wikimedia.org/wikipedia/en/3/35/ElliottsmithXOalbumcover.jpg,98
Honky Château,Elton John,http://upload.wikimedia.org/wikipedia/en/f/f0/Elton_John_-_Honky_Ch%C3%A2teau.jpg,99
This Year's Model,Elvis Costello,http://upload.wikimedia.org/wikipedia/en/e/e1/Elvis-Costello-This-Years-Model.jpg,100
The Sun Sessions,Elvis Presley,http://upload.wikimedia.org/wikipedia/en/c/cd/Elvis_Presley_The_Sun_Sessions_LP_Cover.jpg,101
The Marshall Mathers LP,Eminem,http://upload.wikimedia.org/wikipedia/en/a/ae/The_Marshall_Mathers_LP.jpg,102
The Death of Slim Shady (Coup de Grâce),Eminem,http://upload.wikimedia.org/wikipedia/en/4/4e/Eminem_-_The_Death_of_Slim_Shady_%28Coup_de_Gr%C3%A2ce%29.png,103
Paid in Full,Eric B. & Rakim,http://upload.wikimedia.org/wikipedia/en/e/e1/RakimPIF.jpg,104
Mama's Gun,Erykah Badu,http://upload.wikimedia.org/wikipedia/en/4/4c/Erykah_Badu_-_Mama%27s_Gun.jpg,105
At Last!,Etta James,http://upload.wikimedia.org/wikipedia/en/f/fd/At_Last_-_Etta_James.jpg,106
I Love You Honeybear,Father John Misty,http://upload.wikimedia.org/wikipedia/en/c/cb/I_Love_You%2C_Honeybear.jpg,107
The Idler Wheel...,Fiona Apple,http://upload.wikimedia.org/wikipedia/en/7/7d/TheIdlerWheel....jpg,108
Magdalene,FKA Twigs,http://upload.wikimedia.org/wikipedia/en/9/91/FKATwigs_Magdalene.png,109
Fleet Foxes,Fleet Foxes,http://upload.wikimedia.org/wikipedia/en/0/01/Fleet_foxes.jpg,110
Rumours,Fleetwood Mac,http://upload.wikimedia.org/wikipedia/en/f/fb/FMacRumours.PNG,111
Cosmogramma,Flying Lotus,http://upload.wikimedia.org/wikipedia/en/b/bc/WARPCD195Packshot_480.jpg,112
Romance,Fontaines D.C.,http://upload.wikimedia.org/wikipedia/en/3/31/Romance_Fontaines_D.C._album_cover.jpg,113
The Colour and the Shapee,Foo Fighters,http://upload.wikimedia.org/wikipedia/en/0/0d/FooFighters-TheColourAndTheShape.jpg,114
Blonde,Frank Ocean,http://upload.wikimedia.org/wikipedia/en/a/a0/Blonde_-_Frank_Ocean.jpeg,115
In the Wee Small Hours,Frank Sinatra,http://upload.wikimedia.org/wikipedia/en/1/12/Wee_small_hours_album_cover_high_definition.jpg,116
Freak Out!,Frank Zappa and the Mothers of Invention,http://upload.wikimedia.org/wikipedia/en/7/79/FreakOut%21.jpg,117
The Score,Fugees,http://upload.wikimedia.org/wikipedia/en/d/df/Fugees_-_The_Score.png,118
Maggot Brain,Funkadelic,http://upload.wikimedia.org/wikipedia/en/9/9a/Maggot_Brain_%28Funkadelic_album_-_cover_art%29.jpg,119
Entertainment!,Gang of Four,http://upload.wikimedia.org/wikipedia/en/6/6d/Entertainment%21.jpg,120
The Lamb Lies Down on Broadway,Genesis,http://upload.wikimedia.org/wikipedia/en/e/ee/The_Lamb_Lies_Down_on_Broadway.jpg,121
Faith,George Michael,http://upload.wikimedia.org/wikipedia/en/9/9a/George_Michael_-_Faith.png,122
Lift Your Skinny Fists like Antennas to Heaven,Godspeed You! Black Emporer,http://upload.wikimedia.org/wikipedia/en/d/d3/Liftyrskinnyfists.jpg,123
The New Sound,Gordie Greep,http://upload.wikimedia.org/wikipedia/en/7/76/GeordieGreep_TheNewSound.jpg,124
Demon Days,Gorillaz,http://upload.wikimedia.org/wikipedia/en/d/df/Gorillaz_Demon_Days.PNG,125
The Secret of Us,Gracie Abrams,http://upload.wikimedia.org/wikipedia/en/1/18/Gracie_Abrams_-_The_Secret_of_Us.png,126
American Beauty,Grateful Dead,http://upload.wikimedia.org/wikipedia/en/6/6a/Grateful_Dead_-_American_Beauty.jpg,127
American Idiot,Green Day,http://upload.wikimedia.org/wikipedia/en/e/ed/Green_Day_-_American_Idiot_album_cover.png,128
Art Angels,Grimes,http://upload.wikimedia.org/wikipedia/en/d/d9/Grimes_-_Art_Angels.png,129
Veckatimest,Grizzly Bear,http://upload.wikimedia.org/wikipedia/en/8/85/Veckatimestgrizzly.gif,130
Appetite for Destruction,Guns N' Roses,http://upload.wikimedia.org/wikipedia/en/6/60/GunsnRosesAppetiteforDestructionalbumcover.jpg,131
Women in Music Pt,HAIM,http://upload.wikimedia.org/wikipedia/en/6/64/Haim_-_Women_in_Music_Pt._III.png,132
Nilsson Schmilsson,Harry Nilsson,http://upload.wikimedia.org/wikipedia/en/a/ae/Harry_Nilsson_-_Nilsson_Schmilsson.png,133
Head Hunters,Herbie Hancock,http://upload.wikimedia.org/wikipedia/en/5/54/Herbie-Hancock-Head-Hunters.png,134
Live Through This,Hole,http://upload.wikimedia.org/wikipedia/en/c/c5/Hole_-_Live_Through_This.png,135
Turn On the Bright Lights,Interpol,http://upload.wikimedia.org/wikipedia/en/6/68/Interpol_-_Turn_On_The_Bright_Lights.jpg,136
Iron Maiden,Iron Maiden,http://upload.wikimedia.org/wikipedia/en/7/7c/Iron_Maiden_%28album%29_cover.jpg,137
Donut,J Dilla,http://upload.wikimedia.org/wikipedia/en/1/14/Dilladonutscover.jpg,138
2014 Forest Hills Drive,J. Cole,http://upload.wikimedia.org/wikipedia/en/2/2a/2014ForestHillsDrive.jpg,139
James Blake,James Blake,http://upload.wikimedia.org/wikipedia/en/b/b5/James_Blake_Cover.jpg,140
Live at the Apollo,James Brown,http://upload.wikimedia.org/wikipedia/en/5/5a/James_Brown-Live_at_the_Apollo_(album_cover).jpg,141
Sweet Baby James,James Taylor,http://upload.wikimedia.org/wikipedia/en/1/12/James_Taylor_-_Sweet_Baby_James.jpg,142
The ArchAndroid,Janelle Monáe,http://upload.wikimedia.org/wikipedia/en/f/f9/Janelle_Mon%C3%A1e_-_The_ArchAndroid_album_cover.jpg,143
Control,Janet Jackson,http://upload.wikimedia.org/wikipedia/en/f/ff/Janet_Jackson_-_Control.png,144
Pearl,Janis Joplin,http://upload.wikimedia.org/wikipedia/en/6/61/Janis_Joplin-Pearl_%28album_cover%29.jpg,145
Celebration Rock,Japandroids,http://upload.wikimedia.org/wikipedia/en/e/e5/Celebration_Rock.jpg,146
The Blueprint,Jay-Z,http://upload.wikimedia.org/wikipedia/en/2/2c/The_Blueprint.png,147
Grace,Jeff Buckley,http://upload.wikimedia.org/wikipedia/en/e/e4/Jeff_Buckley_grace.jpg,148
Beautifully Broken,Jelly Roll,http://upload.wikimedia.org/wikipedia/en/7/7d/Jelly_Roll_-_Beautifully_Broken.png,149
What's Your Pleasure?,Jessie Ware,http://upload.wikimedia.org/wikipedia/en/c/c7/Jessie_Ware_%E2%80%93_What%27s_Your_Pleasure%3F_%28Official_Album_Cover%29.png,150
Ys,Joanna Newsom,http://upload.wikimedia.org/wikipedia/en/4/4d/Ys_cover.jpg,151
A Love Supreme,John Coltrane,http://upload.wikimedia.org/wikipedia/en/9/9a/John_Coltrane_-_A_Love_Supreme.jpg,152
John Lennon/Plastic Ono Band,John Lennon,http://upload.wikimedia.org/wikipedia/en/a/a4/JLPOBCover.jpg,153
John Prine,John Prine,http://upload.wikimedia.org/wikipedia/en/a/a0/John_Prine_self-titled.jpg,154
At Folsom Prison,Johnny Cash,http://upload.wikimedia.org/wikipedia/en/b/bf/Johnny_Cash_At_Folsom_Prison.jpg,155
